perk-name,character,random-enabled
ace-in-the-hole,ace,true
adrenaline,meg,true
aftercare,jeff,true
alert,feng,true
any-means-necessary,yui,true
appraisal,elodie,true
autodidact,adam,true
babysitter,steve,true
background-player,renato,true
balanced-landing,nea,true
bardic-inspiration,aestri,true
better-together,nancy,true
better-than-new,rebecca,true
bite-the-bullet,leon,true
blast-mine,jill,true
blood-pact,cheryl,true
blood-rush,renato,true
boil-over,kate,true
bond,dwight,true
boon:-circle-of-healing,mikaela,true
boon:-dark-theory,yoichi,true
boon:-exponential,jonah,true
boon:-illumination,alan,true
boon:-shadow-step,mikaela,true
borrowed-time,bill,true
botany-knowledge,claudette,true
breakdown,jeff,true
breakout,yui,true
buckle-up,ash,true
built-to-last,felix,true
calm-spirit,jake,true
camaraderie,steve,true
champion-of-light,alan,true
chemical-trap,ellen,true
clairvoyance,mikaela,true
clean-break,taurie,true
corrective-action,jonah,true
counterforce,jill,true
cut-loose,thalita,true
dance-with-me,kate,true
dark-sense,all,true
dead-hard,david,true
deadline,alan,true
deception,elodie,true
decisive-strike,laurie,true
deja-vu,all,true
deliverance,adam,true
desperate-measures,felix,true
detective's-hunch,david,true
distortion,jeff,true
diversion,adam,true
do-no-harm,orela,true
dramaturgy,nicolas,true
duty-of-care,orela,true
empathic-connection,yoichi,true
empathy,claudette,true
exultation,trevor,true
eyes-of-belmont,trevor,true
fast-track,yun-jin,true
finesse,lara,true
fixated,nancy,true
flashbang,leon,true
flip-flop,ash,true
fogwise,vittorio,true
for-the-people,zarina,true
friendly-competition,thalita,true
hardened,lara,true
head-on,jane,true
hope,all,true
hyperfocus,rebecca,true
inner-focus,haddie,true
inner-strength,nancy,true
invocation:-treacherous-crows,taurie,true
invocation:-weaving-spiders,sable,true
iron-will,jake,true
kindred,all,true
leader,dwight,true
left-behind,bill,true
light-footed,ellen,true
lightweight,all,true
lithe,feng,true
low-profile,ada,true
lucky-break,yui,true
lucky-star,ellen,true
made-for-this,gabriel,true
mettle-of-man,ash,true
mirrored-illusion,aestri,true
moment-of-glory,trevor,true
no-mither,david,true
no-one-left-behind,all,true
object-of-obsession,laurie,true
off-the-record,zarina,true
open-handed,ace,true
overcome,jonah,true
overzealous,haddie,true
parental-guidance,yoichi,true
pharmacy,quentin,true
plot-twist,nicolas,true
plunderer's-instinct,all,true
poised,jane,true
potential-energy,vittorio,true
power-struggle,elodie,true
premonition,all,true
prove-thyself,dwight,true
quick-&-quiet,meg,true
quick-gambit,vittorio,true
rapid-response,orela,true
reactive-healing,ada,true
reassurance,rebecca,true
red-herring,zarina,true
repressed-alliance,cheryl,true
residual-manifest,haddie,true
resilience,all,true
resurgence,jill,true
rookie-spirit,leon,true
saboteur,jake,true
scavenger,gabriel,true
scene-partner,nicolas,true
second-wind,steve,true
self-care,claudette,true
self-preservation,yun-jin,true
shoulder-the-burden,taurie,true
slippery-meat,all,true
small-game,all,true
smash-hit,yun-jin,true
sole-survivor,laurie,true
solidarity,jane,true
soul-guard,cheryl,true
specialist,lara,true
spine-chill,all,true
sprint-burst,meg,true
stake-out,david,true
still-sight,aestri,true
streetwise,nea,true
strength-in-shadows,sable,true
teamwork:-collective-stealth,renato,true
teamwork:-power-of-two,thalita,true
technician,feng,true
tenacity,david,true
this-is-not-happening,all,true
troubleshooter,gabriel,true
unbreakable,bill,true
up-the-ante,ace,true
urban-evasion,nea,true
vigil,quentin,true
visionary,felix,true
wake-up!,quentin,true
we'll-make-it,all,true
we're-gonna-live-forever,david,true
wicked,sable,true
windows-of-opportunity,kate,true
wiretap,ada,true
